字词索引,参见,词条,繁体异体,拼音,部首,笔画,结构,字级,释义
庵,,庵㈠,[菴],ān,广,11,半包围,一级字,❶圆形草屋。《南齐书·竟陵文宣王子良传》：“编草结～，不违凉暑。”//〖特〗用为书斋名。如陆游有“老学庵”。//❷僧人道士所居屋舍（后起意义）。《宋史·孟珙传》：“亦通佛学，自号无～居士。”后多指尼姑居住的。如《红楼梦》里有“水月庵”。
谙,,谙,[諳],ān,讠,11,左右,二级字,熟悉，熟识。《晋书·刑法志》：“故～事识体者，善权轻重，不以小害大，不以近妨远。”（权：衡量。）白居易《忆江南词》之一：“江南好，风景旧曾～。”
媕,,媕,,ān,女,12,左右,,[媕婀（ē）]//不置可否，曲意迎合。韩愈《石鼓歌》：“中朝大官老于事，讵肯感激徒～～？”（讵：哪里。）洪迈《容斋随笔》卷四：“～～当位，左掣右壅。”
晻,,晻㈠,,ǎn,日(曰),12,左右,,[晻蔼]//阴暗的样子。屈原《离骚》：“扬云霓之～～兮，鸣玉鸾之啾啾。”
晻,,晻㈡,,àn,日(曰),12,左右,,❶暗。《汉书·五行志下》：“大风起，天无云，日光～。”又用于抽象意义。指世道昏暗或人主昏庸。《荀子·不苟》：“是奸人将以盗名于～世者也。”//❷不显露、不公开的，暗中。《荀子·儒效》：“张法而度之，则～然若合符节。”
暗,,暗,,àn,日(曰),13,左右,一级字,❶昏暗不明。《汉书·外戚传下》：“广室阴兮帷幄～。”李白《古风五十九首》之二十四：“大车扬飞尘，亭午～阡陌。”（亭午：正午。阡陌：道路。）//〖喻〗政治黑暗。杜甫《愁》诗：“十年戎马～万国。”//❷愚昧。《三国志·蜀书·后主传》：“否（pǐ）德～弱。”（道德低下，愚昧无能。否德：不德。）//❸不显露的，不公开的。《世说新语·言语》：“简文在～室中坐，召宣武。”（宣武：指桓温。）陆游《入蜀记》卷六：“龙门水尤湍急，多～石。”成语有“明察暗访”。//〖又〗默默地，悄悄地。杜甫《可叹》诗：“群书万卷常～诵。”
盦,,盦,[盫],ān,人,16,上中下,三级字,❶古代一种有盖的器皿。陶宗仪《南村辍耕录》卷一七：“古器之名则有……壶、～、瓿（bù）。”（瓿：小瓮。）//❷覆盖。李时珍《本草纲目·草部·续断》：“闪肭（nǜ）骨节，用接骨草叶捣烂～之，立效。”（肭：残。）//❸通“庵（菴）”。圆形草屋。徐珂《清稗类钞·孝友》：“乃筑风木～以避寒暑。”//〖又〗用于人名、别名或书斋名。如龚自珍号定盦。
黯,,黯,,àn,黑,21,左右,一级字,❶深黑色。蔡邕《述行赋》：“玄云～以凝结兮。”（玄：黑色。以：而。）//❷[黯然]//黑色的样子。《史记·孔子世家》：“丘得其为人，～～而黑。”//〖引〗暗淡无光的样子。刘禹锡《西塞山怀古》诗：“金陵王气～～收。”成语有“黯然失色”。//〖引〗神情沮丧的样子。江淹《别赋》：“～～销魂者，唯别而已矣!”（销魂：形容人极度悲伤忧愁。）//❸昏暗。江淹《齐太祖高皇帝诔》：“日月郁华，风云～色。”
干,,干㈡,[幹],àn,干,3,独体,一级字,❶树干。左思《蜀都赋》：“擢修～，竦长条。”（修：长。）徐弘祖《徐霞客游记·游黄山日记》：“柏虽大～如臂，无不平贴石上。”//〖又〗躯干。南北朝乐府《陇上歌》：“陇上壮士有陈安，躯～虽小腹中宽。”（陇上：地名。陈安：人名。腹中宽：指度量大。）//〖引〗根本。《汉书·五行志中之上》：“礼，国之～也。”//❷才干。《三国志·蜀书·诸葛亮传》：“理民之～优于将略。”（理：治理。优于：胜过。将略：用兵的策略。）//❸管理，治理。《周易·乾》：“贞固足以～事。”《后汉书·史弼传》：“弼有～国之器。”（器：才能。）//【辨析】//干，乾，榦，幹。见下“干4（榦）”字。
干,,干㈡,[榦],àn,干,3,独体,一级字,❶筑土墙时两边所用的木板。一般只见于“桢（zhēn）榦”一词中。《尚书·费誓》：“峙（zhì）乃桢～。”（峙：具备。乃：你的。桢：筑土墙时两头所用的木板。）后以“桢榦”比喻骨干、人才。又写作“桢幹”。//❷树干，树的主干。《淮南子·主术》：“枝不得大于～。”//〖引〗根本。《淮南子·原道》：“是故柔弱者，生之～也。”//❸木名。柘树。《尚书·禹贡》：“杶～栝柏。”（杶、栝：均木名。）//【辨析】//干，乾，榦，幹。古代“干”、“乾”、“幹”是完全不同的三个字，各不相通。在古书中，乾湿的“乾”、树幹的“幹”，都不写作“干”。“榦”和“幹”在树榦的意义上通用，但是才幹的“幹”，一般不写作“榦”。现都简化为“干”。
安,,安,,ān,宀,6,上下,一级字,❶安宁，安定。《诗经·小雅·常棣》：“丧乱既平，既～且宁。”《荀子·王霸》：“国～则无忧民。”//❷安稳，稳固。杜甫《茅屋为秋风所破歌》：“风雨不动～如山。”//〖又〗平安。《周易·系辞下》：“是故君子～而不忘危，存而不忘亡。”//〖引〗妥当。《论衡·自纪》：“世书俗说，多所不～。”//❸安逸，安乐。《论语·学而》：“君子食无求饱，居无求～。”《左传·僖公二十三年》：“怀与～，实败名。”//❹安心。《论语·阳货》：“食夫稻，衣夫锦，于女～乎？”（女：汝。）《三国志·魏书·司马朗传》：“郊境之内，民不～业。”//❺舒缓。《战国策·齐策四》：“晚食以当肉，～步以当车。”//❻安放，设置（后起意义）。《世说新语·巧艺》：“魏明帝起殿，欲～榜，使仲将登梯题之。”陆游《东阳道中》诗：“先～笔砚对溪山。”//❼疑问代词。什么，什么地方。《礼记·檀弓上》：“泰山其颓，则吾将～仰？”《左传·僖公十四年》：“皮之不存，毛将～傅?”（傅：附着。）//〖又〗怎么，哪里。《史记·陈涉世家》：“嗟乎，燕雀～知鸿鹄之志哉!”
犴,,犴,[豻],àn,犭,6,左右,三级字,❶古代北方一种野狗。司马相如《子虚赋》：“其下则有白虎玄豹，蟃蜒（wànyán）䝙（chū）～。”（蟃蜒、䝙：野兽名。）//❷古代乡亭的牢狱。《荀子·宥坐》：“狱～不治，不可刑也。”（不治：指处理得不当。）
阴,,阴㈠,[陰、隂],ān,阝左,6,左右,一级字,[谅阴]//帝王居丧。见4页“闇”字。
岸,,岸,[㟁],àn,山,8,上下,一级字,❶河岸。《诗经·卫风·氓》：“淇则有～，隰（xí）则有泮。”（淇：淇水。）//❷山崖。《荀子·宥坐》：“三尺之～而虚车不能登也。”（虚车：空车。）//❸高。《汉书·江充传》：“充为人魁～。”（魁：大。）//[伟岸]//高大。《新唐书·段志玄传》：“志玄姿质～～。”//[傲岸]//高傲。李白《赠宣城宇文太守兼呈崔侍御》诗：“崔生何～～，纵酒复谈玄。”//[岸帻（zé）]//把帻（头巾）掀起，露出前额。形容态度洒脱，不拘束。《晋书·谢奕传》：“～～笑咏，无异常日。”（笑咏：谈笑咏诗。）//❹通“犴”。古代乡亭的牢狱。《诗经·小雅·小宛》：“哀我填寡，宜～宜狱。”//[岸狱]//牢狱。杨万里《与张严州敬夫书》：“某初至，见～～充盈。”
按,,按,,àn,扌,9,左右,一级字,❶用手压或摁。《世说新语·排调》：“每共围棋，丞相欲举行，长豫～指不听。”//〖又〗握，持。《史记·绛侯周勃世家》：“于是天子乃～辔（pèi）徐行。”《汉书·邹阳传》：“燕王～剑而怒。”//❷压抑，止住。《管子·霸言》：“～强助弱，圉暴止贪。”（圉：阻止。）成语有“按兵不动”。//❸按照，依照。《商君书·君臣》：“缘法而治，～功而赏。”（缘：依照。）成语有“按部就班”。//❹考察。贾谊《治安策》：“～之当今之务。”//〖又〗追究，查办。《汉书·赵广汉传》：“广汉使长安丞～贤。”（贤：人名。）//❺巡行，巡视。《史记·卫将军骠骑列传》：“遂西定河南地，～榆溪旧塞。”（榆溪：地名。塞：边塞。）//❻于是，就。《荀子·富国》：“我～起而治之。”//【辨析】//按，抑。“按”、“抑”都有向下压的意思，但“抑”比“按”程度重，并且常用于压抑、抑制等抽象意义。
啽,,啽㈠,,ān,,,,,[啽默]//缄默不言。《新唐书·杨玚传》：“公卿～～唯唯，独玚抗议。”
啽,,啽㈡,,án,,,,,❶[啽呓（yì）]//说梦话。《列子·周穆王》：“眠中～～呻呼，彻旦息焉。”//❷[啽哢（lòng）]//鸟鸣声。柳宗元《乞巧文》：“抽黄对白，～～飞走。”
闇,,闇㈠,,ān,,,,,[谅闇]//帝王居丧。《礼记·丧服四制》：“高宗～～。”
闇,,闇㈡,,ǎn,,,,,隐晦。《礼记·中庸》：“故君子之道，～然而日章。”（章：彰显，显著。）
闇,,闇㈢,,àn,,,,,❶闭门。《说文·门部》：“闇，闭门也。”//❷蒙蔽。《荀子·不苟》：“不下比以～上。”（比：勾结。）//❸昏暗。《楚辞·九思·守志》：“彼日月兮～昧。”（昧：昏暗无光。）//〖引〗黄昏或夜间。《礼记·祭义》：“周人祭日，以朝及～。”//〖喻〗政治黑暗。《商君书·说民》：“治明则同，治～则异。”（同：指上下一心；异：指上下离散。）//❹昏庸，愚昧。《淮南子·主术》：“主上～而不明，群臣党而不忠。”曹操《陈损益表》：“以～钝之才，而奉明明之政。”//❺暗中。《管子·九守》：“刑赏信必于耳目之所见，则其所不见莫不～化矣。”//〖又〗默默地。《三国志·魏书·王粲传》：“卿能～诵乎?”
韽,,韽,,ān,,,,,声音微弱。《周礼·春官·典同》：“微声～，回声衍。”刘基《大热遣怀》诗：“鸟兽声尽～。”
盎,,盎,,àng,皿,10,上下,二级字,❶一种腹大口小的盛器。《后汉书·逢萌传》：“乃首戴瓦～，哭于市。”（戴：顶着。）韩愈《赠张籍》诗：“箧中有余衣，～中有余粮。”//❷盈溢的样子。《孟子·尽心上》：“其生色也，睟然见于面，～于背，施（yì）于四体。”（睟然：润泽的样子。施：延及。）又常“盎盎”、“盎然”连用。苏轼《新酿桂酒》诗：“～～春溪带雨浑。”苏轼《答李邦直》诗：“诗词如醇酒，～然薰四支。”成语有“春意盎然”。
卬,,卬㈠,,áng,卩,4,左右,三级字,❶第一人称代词。我。《诗经·邶风·匏有苦叶》：“人涉～否，～须我友。”（涉：过河。须：等待。）//❷通“昂”。抬起，抬高。司马迁《报任安书》：“迺欲～首伸眉，论列是非。”（迺：乃。列：陈述。）柳宗元《蝜蝂传》：“～其首负之。”（负：背。）//〖引〗高，升高。《汉书·食货志下》：“万物～贵。”（卬贵：同“昂贵”。）司马相如《长门赋》：“意慷慨而自～。”//[卬卬]//气宇轩昂的样子。《诗经·大雅·卷阿》：“颙颙～～，如圭如璋。”
昂,,昂,,áng,日(曰),8,上下,一级字,❶抬起，抬高。屈原《远游》：“服偃蹇（yǎnjiǎn）以低～兮。”（服：指驾辕的马。偃蹇：屈伸的样子。）《隋书·炀三子传》：“～首扬眉，初无惭色。”成语有“昂首阔步”。//〖引〗高，升高。《论衡·变动》：“故谷价低～，一贵一贱矣。”//❷[昂昂]//形容志行高超、气度不凡。屈原《卜居》：“宁～～若千里之驹乎?”
枊,,枊,,àng,木,8,左右,,❶拴马的柱子。《三国志·蜀书·先主传》：“解绶系其颈著马～。”//❷斗拱。何晏《景福殿赋》：“飞～鸟踊，双辕是荷。”
敖,,敖㈠,,áo,攵,10,左右,二级字,❶游玩，游逛。《诗经·邶风·柏舟》：“微我无酒，以～以游。”（微：无。）《商君书·垦令》：“民不～，则业不败。”（业：事业。）这个意义后来写作“遨”。//❷通“嗷”。声音嘈杂。《荀子·强国》：“而日为乱人之道，百姓讙（huān）～。”（讙：喧哗。）//❸通“熬”。煎熬。《荀子·富国》：“天下～然，若烧若焦。”//❹[敖敖]//身长的样子。《诗经·卫风·硕人》：“硕人～～，说（shuì）于农郊。”（说：通“税”。指停车止息。）//通“嗷嗷”。嘈杂声。《三国志·魏书·常林传》：“林夜挝（zhuā）吏，不胜痛，叫呼～～彻曙。”（挝：击，打。彻曙：直到天明。）
敖,,敖㈡,,ào,攵,10,左右,二级字,通“傲”。傲慢，狂妄。《汉书·萧望之传》：“～慢不逊。”《论衡·问孔》：“毋若丹朱～，惟慢游是好。”（丹朱：帝尧之子。）//[笑敖]//戏谑游乐，放纵不敬。《诗经·邶风·终风》：“谑浪～～，中心是悼。”
傲,,傲,[慠],ào,亻,12,左右,一级字,❶骄傲，傲慢。《左传·成公十四年》：“今夫子～，取祸之道也。”《韩非子·内储说下》：“令尹甚～而好兵。”//〖引〗轻视。《商君书·修权》：“数加严令，而不致其刑，则民～死。”（不致其刑：不执行刑罚。死：指死刑。）//❷急躁。《荀子·劝学》：“不问而告谓之～。”（告：告诉，指回答。）//【辨析】//骄，傲。见193页“骄”字。
奡,,奡,,ào,一,12,上下,三级字,❶传说中夏朝的大力士。《论衡·效力》：“～、育，古之多力者。”（育：夏育，传说中的大力士。）//[排奡]//矫健有力（多指文章）。韩愈《荐士》诗：“妥帖力～～。”//❷通“傲”。傲慢。《尚书·益稷》：“无若丹朱～。”（若：像。丹朱：人名。）
奥,,奥㈠,,ào,大,12,上下,一级字,❶屋子里的西南角。多为尊长居处或设神位处。《荀子·非十二子》：“～窔（yào）之间，簟（diàn）席之上。”（窔：屋子里的东南角。簟：竹席。）《论语·八佾》：“与其媚于～，宁媚于灶。”//〖引〗指室内深处。《淮南子·时则》：“凉风始至，蟋蟀居～。”//❷深。陆机《塘上行》：“结根～且坚。”//❸深奥，隐微。《老子·六十二章》：“道者万物之～。”《宋史·蔡元定传》：“遂与对榻讲论诸经～义，每至夜分。”柳宗元《答韦中立论师道书》：“抑之欲其～。”（抑：抑制。指写文章不做详尽的发挥。）//〖引〗隐蔽、机密的地方。《三国志·魏书·董昭传》：“往来禁～。”//〖又〗指重要、机密的职务。谢朓《忝役湘州与宣城吏民别》诗：“薄晚忝华～。”
媪,,媪,,ǎo,女,12,左右,二级字,❶对老年妇女的敬称。《战国策·赵策四》：“老臣以～为长安君计短也。”（计短：考虑得太短浅了。）//❷妇女的通称。《南史·袁昂传》：“昂年五岁，乳～携抱匿（nì）于庐山。”（乳媪：奶母。匿：躲藏。）
嗷,,嗷,[嗸],áo,口,13,左右,二级字,[嗷嗷]//1．哀鸣声。《诗经·小雅·鸿雁》：“鸿雁于飞，哀鸣～～。”//〖又〗哀号声。《楚辞·九叹·惜贤》：“声～～以寂寥兮，顾仆夫之憔悴。”//2．声音嘈杂。曹植《美女篇》：“众人徒～～!安知彼所观？”
廒,,廒,[厫],áo,广,13,半包围,三级字,储存粮食的仓库。马端临《文献通考》卷二一：“凡十有四年，得息米造成仓～。”（息米：作为利息交纳的米。）
遨,,遨,,áo,辶,13,半包围,二级字,遨游，游逛。《后汉书·刘盆子传》：“犹从牧儿～。”（仍旧跟着牧童游逛。）//[遨游]//漫游。陆机《拟古诗·青青陵上柏》：“～～放情愿，慷慨为谁叹?”李白《南都行》：“～～盛宛洛，冠盖随风还。”//奔走周旋。《后汉书·马援传》：“卿～～二帝间，今见卿，使人大惭。”
骜,,骜㈠,[驁],áo,马,13,上下,二级字,通“謷”。诋毁。《商君书·更法》：“有独知之虑者，必见～于民。”
骜,,骜㈡,[驁],ào,马,13,上下,二级字,❶骏马。《吕氏春秋·察今》：“良马期乎千里，不期乎骥～。”（乘良马是希望能跑千里，不是希望得到好马的名字。骥：好马。）//〖引〗放纵奔驰。屈原《远游》：“骖连蜷（quán）以骄～。”（骖：驾在车前两侧的马。连蜷：形容马奔跑时的样子。）//❷通“傲”。傲慢。《韩非子·十过》：“夫知伯之为人也，好利而～愎（bì）。”（知伯：人名。愎：固执，任性。）//〖又〗轻视。《吕氏春秋·下贤》：“士～禄爵者，固轻其主。”
熬,,熬,,áo,灬,14,上下,一级字,❶烤干，煎干。《周礼·地官·舍人》：“共饭米～谷。”（共：供给。）//〖引〗煎焦。《后汉书·边让传》：“多汁则淡而不可食，少汁则～而不可熟。”//〖喻〗受折磨，痛苦。《楚辞·九思·怨上》：“我心兮煎～。”//❷[熬熬]//赤日炎炎的样子。张籍《山头鹿》诗：“早日～～蒸野冈，禾黍不收无狱粮。”//通“嗷嗷”。痛苦的喊叫声。《汉书·陈汤传》：“下至众庶，～～苦之。”//❸长时间地煮（后起意义）。《新唐书·摩揭陀传》：“太宗遣使取～糖法。”
獒,,獒,,áo,犬,14,上下,二级字,一种凶猛的狗。《左传·宣公二年》：“公嗾（sǒu）夫～焉。”（嗾：唆使。）
隩,,隩㈠,,ào,阝左,14,左右,三级字,❶通“墺”。可居住的地方。《尚书·禹贡》：“九州攸同，四～既宅。”（宅：用作动词，指盖起房子。）//❷通“奥”。室内西南角。《孔子家语·问玉》：“室而无～阼（zuò），则乱于堂室矣。”（阼：堂前东边的台阶，古时迎接宾客的地方。）//〖又〗深。《国语·郑语》：“申、吕方强，其～爱太子，亦必可知也。”（申、吕：姜姓诸侯。）
澳,,澳㈠,,ào,氵,15,左右,一级字,❶水湾。《宋史·向子░传》：“曩有司三日一启闸，复作～储水。”//〖又〗可泊船的水湾（后起意义）。《宋史·河渠志六》：“镇江府傍临大江，无港～以容舟楫。”//❷刷洗。《世说新语·汰侈》：“王君夫以𥹋（yí）糒（bèi）～釜。”（𥹋：饴糖。糒：干饭。）
翱,,翱,[翺],áo,羽,16,左右,二级字,鸟扇动翅膀上下飞。《诗经·郑风·女曰鸡鸣》：“将～将翔，弋凫与雁。”《竹书纪年》卷下：“凤凰～兮于紫庭。”//[翱翔]//展开翅膀回旋地飞。《庄子·逍遥游》：“～～蓬蒿之间，此亦飞之至也。”《淮南子·览冥》：“～～四海之外。”//〖引〗悠闲游乐的样子。《诗经·齐风·载驱》：“鲁道有荡，齐子～～。”（齐子：指齐国女子文姜。）
聱,,聱,,áo,耳,16,上下,二级字,❶听不进别人的意见。《新唐书·元结传》：“彼诮（qiào）以～者，为其不相从听。”（诮：责备。）//❷[聱牙]//文句不顺口，指艰涩难读。韩愈《进学解》：“周诰殷盘，佶屈～～。”
螯,,螯,,áo,虫,16,上下,二级字,螃蟹等节肢动物的第一对脚，像钳子，能开合，用来取食、自卫。《荀子·劝学》：“蟹六跪而二～。”（跪：脚。）//〖又〗螃蟹的代称。苏轼《和穆父〈新凉〉》：“紫～应已肥，白酒谁能劝？”
謷,,謷㈠,,áo,言,17,上下,,诋毁。《吕氏春秋·怀宠》：“～丑先王，排訾（zǐ）旧典。”（訾：毁谤。）《新序·善谋》：“有独知之虑者，必见～于民。”//[謷謷]//形容哀号。《汉书·食货志上》：“天下～～然，陷刑者众。”
